Trans ID,User ID,Merchant ID,Trans Date,Trans Amount,Commission,Comment,Voided,Pending Date,Locked,Aff Comment,Banner Page,Reversal Date,Click Date,Click Time,Banner Id,SKU List,Quantity List,Lock Date,Paid Date,Merchant Organization,Merchant Website,Trans Type,Merchant Defined Type,Store ID,Reference Trans
130244817,1773960,29727,10/01/2019 01:00:20 PM,69.95,20.98,Sale - vs36745,,,,vitalsleep-mouthpiece-review,https://www.tuck.com/best-anti-snoring-mouthpieces-mouthguards/,,2019-10-01 00:00:00.0,12:54:20 PM,260865,,,2019-12-20,,The Snore Reliever Company LLC,www.vitalsleep.com,Sale,,,
130229673,1773960,63899,10/01/2019 01:05:15 AM,139,27.8,Sale - 606139,,,,weighted-blanket-reviews,https://www.tuck.com/weighted-blanket-reviews/,,2019-10-01 00:00:00.0,01:02:24 AM,828972,,,2019-11-20,,Layla Sleep,www.laylasleep.com,Sale,,,
130245277,1773960,81529,10/01/2019 01:08:29 PM,150,15.0,Sale - 203465,,,,cool-comforters,https://www.tuck.com/cool-comforters/,,2019-10-01 00:00:00.0,01:01:00 PM,1221291,,,2019-11-20,,Buffy Inc,buffy.co,Sale,,,
130245646,1773960,89663,10/01/2019 01:15:01 PM,224.25,44.85,Sale - 125906,,,,weighted-blanket-reviews,https://www.tuck.com/weighted-blanket-reviews/,,2019-09-23 00:00:00.0,11:32:32 AM,1376554,,,2019-11-20,,Gravity Blankets,gravityblankets.com,Sale,,,
130229872,1773960,29580,10/01/2019 01:15:33 AM,76.91,18.46,Sale - s99168,,,,good-morning-snore-solution-mouthpiece-review,https://www.tuck.com/best-anti-snoring-mouthpieces-mouthguards/,,2019-10-01 00:00:00.0,01:06:57 AM,1106202,"GMSSCarryCase,GMSSSingle","1,1",2019-11-20,,Good Morning Snore Solution®,www.goodmorningsnoresolution.com,Sale,,,
130229908,1773960,81529,10/01/2019 01:17:22 AM,160,16.0,Sale - 203311,,,,cool-comforters,,,2019-09-27 00:00:00.0,02:18:24 PM,1221291,,,2019-11-20,,Buffy Inc,buffy.co,Sale,,,
130246082,1773960,63899,10/01/2019 01:23:15 PM,99,19.8,Sale - 606200,,,,best-memory-foam-pillows,,,2019-09-30 00:00:00.0,01:05:58 PM,828972,,,2019-11-20,,Layla Sleep,www.laylasleep.com,Sale,,,
130246182,1773960,86741,10/01/2019 01:25:30 PM,47.92,11.98,Sale - 2621438,,,,,,,2019-10-01 13:25:30.13,,,,,2019-11-20,,"CV Sciences, Inc.",www.pluscbdoil.com,Sale,,,
130246187,1773960,29727,10/01/2019 01:25:34 PM,69.95,20.98,Sale - vs36749,,,,vitalsleep-mouthpiece-review,https://www.tuck.com/best-anti-snoring-mouthpieces-mouthguards/,,2019-10-01 00:00:00.0,01:20:03 PM,260865,,,2019-12-20,,The Snore Reliever Company LLC,www.vitalsleep.com,Sale,,,
130246433,1773960,29727,10/01/2019 01:31:01 PM,69.95,20.98,Sale - vs36750,,,,vitalsleep-mouthpiece-review,https://www.tuck.com/best-anti-snoring-mouthpieces-mouthguards/,,2019-10-01 00:00:00.0,01:15:43 PM,260865,,,2019-12-20,,The Snore Reliever Company LLC,www.vitalsleep.com,Sale,,,
130230145,1773960,67286,10/01/2019 01:31:02 AM,647.25,127.35,Sale - 131876,,,,brooklyn-bedding-mattress-review,https://www.tuck.com/brooklyn-bedding-mattress-review/,,2019-09-30 00:00:00.0,03:33:06 PM,899503,,,2019-11-20,,Brooklyn Bedding,www.brooklynbedding.com,Sale,,1,
130246447,1773960,86741,10/01/2019 01:31:17 PM,143.84,35.96,Sale - 2621561,,,,,,,2019-10-01 13:31:17.87,,,,,2019-11-20,,"CV Sciences, Inc.",www.pluscbdoil.com,Sale,,,
130246504,1773960,29727,10/01/2019 01:32:39 PM,59.46,17.84,Sale - vs36752,,,,vitalsleep-mouthpiece-review,https://www.tuck.com/vitalsleep-mouthpiece-review/,,2019-09-30 00:00:00.0,12:22:23 PM,260865,,,2019-12-20,,The Snore Reliever Company LLC,www.vitalsleep.com,Sale,,,
130246572,1773960,64892,10/01/2019 01:33:56 PM,329,65.8,Sale - bl011830177719,,,,best-duvet-inserts,https://www.tuck.com/best-duvet-inserts/,,2019-10-01 00:00:00.0,01:20:40 PM,845039,,,2019-11-20,,Brooklinen,www.brooklinen.com,Sale,,,
130230260,1773960,86945,10/01/2019 01:38:00 AM,19.99,8.0,Sale - FX-7791015050,,,,,https://www.tuck.com/best-cbd-capsules/,,2019-10-01 00:00:00.0,01:25:00 AM,1326391,,,2019-11-20,,NEwhere Inc.,www.cbdfx.com,Sale,,,
130230291,1773960,67286,10/01/2019 01:40:17 AM,74.25,14.85,Sale - 131877,,,,best-bamboo-sheets,https://www.tuck.com/best-bamboo-sheets/,,2019-10-01 00:00:00.0,01:20:27 AM,899503,,,2019-11-20,,Brooklyn Bedding,www.brooklynbedding.com,Sale,,1,
130230298,1773960,67286,10/01/2019 01:40:51 AM,711.75,142.35,Sale - 131878,,,,best-soft-mattress,https://www.sleephelp.org/best-soft-mattress/,,2019-10-01 00:00:00.0,01:27:06 AM,1096061,,,2019-11-20,,Brooklyn Bedding,www.brooklynbedding.com,Sale,,1,
130230405,1773960,64892,10/01/2019 01:46:45 AM,126.65,25.33,Sale - bl011829906719,,,,- best-silk-sheets,https://www.tuck.com/best-silk-sheets/,,2019-10-01 00:00:00.0,01:14:51 AM,845039,,,2019-11-20,,Brooklinen,www.brooklinen.com,Sale,,,
130230497,1773960,67286,10/01/2019 01:53:27 AM,133.5,26.7,Sale - 131879,,,,best-latex-pillows,https://www.tuck.com/best-latex-pillows/,,2019-09-29 00:00:00.0,05:41:00 PM,899503,,,2019-11-20,,Brooklyn Bedding,www.brooklynbedding.com,Sale,,1,
130247736,1773960,86945,10/01/2019 01:58:59 PM,39.99,16.0,Sale - FX-7791015140,,,,,https://www.tuck.com/best-cbd-topicals/,,2019-10-01 00:00:00.0,01:56:49 PM,1326391,,,2019-11-20,,NEwhere Inc.,www.cbdfx.com,Sale,,,
130247883,1773960,64892,10/01/2019 02:01:53 PM,134.1,26.82,Sale - bl011830201719,,,,best-sheets,,,2019-10-01 00:00:00.0,01:46:57 PM,845039,,,2019-11-20,,Brooklinen,www.brooklinen.com,Sale,,,
130247924,1773960,86741,10/01/2019 02:03:50 PM,89.95,22.49,Sale - 2622244,,,,,https://www.tuck.com/best-cbd-oils/,,2019-07-06 00:00:00.0,03:47:30 PM,1325155,,,2019-11-20,,"CV Sciences, Inc.",www.pluscbdoil.com,Sale,,,
130247959,1773960,67286,10/01/2019 02:04:54 PM,99,19.8,Sale - 131923,,,,best-pillows-for-stomach-sleepers,https://www.tuck.com/best-pillows-for-stomach-sleepers/,,2019-10-01 00:00:00.0,01:57:15 PM,899503,,,2019-11-20,,Brooklyn Bedding,www.brooklynbedding.com,Sale,,1,
130248072,1773960,71674,10/01/2019 02:07:45 PM,136.78,24.62,Sale - 55414,,,,,https://www.tuck.com/best-headphones-for-sleeping/,,2019-10-01 00:00:00.0,02:02:33 PM,1307272,,,2019-11-20,,DubsLabs,www.dubslabs.com,Sale,,,
