Merchant Id,Merchant,Commissions Month,Commissions Total,Hits Month,Hits Total,Sales Month,Sales Total,Conversion Month,Conversion Total,Epc Month,Epc Total,Merchant Status,Sale Comm.,Lead Comm.,Hit Comm.,NumberOfSalesMonth,CommissionsSalesMonth,NumberOfLeadsMonth,CommissionsLeadsMonth,NumberOfTwoTierMonth,CommissionsTwoTierMonth,NumberOfBonusesMonth,CommissionsBonusMonth,NumberOfPPCallsMonth,CommissionsPPCallMonth,NumberOfLeapfrogsMonth,CommissionsLeapfrogMonth
67286,Brooklyn Bedding,58223.75,876914.8,21415,297249,445,6946,2.077982722390,2.336761435698690,271.88303,295.01016,Online,20%,,,445,58223.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59174,Wink Beds LLC,46182.2,473118.38,9390,126150,162,2013,1.725239616613,1.595719381688466,491.8232,375.04428,Online,20%,,,162,46182.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
86741,"CV Sciences, Inc.",24448.1,243315.66,15257,205365,1130,11884,7.406436389853,5.786769897499573,160.24185,118.479614,Online,25%,,,1130,24448.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
64892,Brooklinen,21700.37,135853.31,13626,90961,573,3938,4.205195948921,4.329327953738415,159.25708,149.35336,Online,20%,,,573,21700.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76815,GoodMorning.com,20875.11,268416.12,4761,70542,326,4019,6.847300987187,5.697315074707266,438.46063,380.5054,Online,5%,,,326,20875.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
63899,Layla Sleep,14909.1,480408.6,8311,256454,166,5088,1.997352905787,1.983981532750512,179.38997,187.3274,Online,20%,,,166,14773.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60398,Bear Mattress,13865.04,178201.97,2157,52991,103,1695,4.775150672229,3.198656375610952,642.7928,336.28723,Online,5%,,,103,13865.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
29727,The Snore Reliever Company LLC,10357.16,86870.51,4300,39796,536,4698,12.465116279069,11.805206553422454,240.86418,218.28955,Online,30%,,,536,10357.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
86945,NEwhere Inc.,10308.87,74921.09,8727,55844,440,3245,5.041824223673,5.810830169758613,118.12616,134.1614,Online,40%,,,440,10308.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
73372,Puffy Mattress,5950.0,179974.5,1075,40942,14,482,1.302325581395,1.177275169752332,553.48834,439.58405,Online,$300,,,14,5950.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
89663,Gravity Blankets,5455.74,12599.69,8559,17610,130,300,1.518869026755,1.703577512776831,63.742725,71.54849,Online,20%,,,130,5455.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
81529,Buffy Inc,3597.65,53499.06,3267,36725,167,2617,5.111723293541,7.125936010891763,110.1209,145.67477,Online,12%,,,167,3597.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
